语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
86	失道妄行，逆天暴物，穷奢极欲，湛湎荒淫，妇言是从，诛逐仁贤，离逖骨肉，群小用事，峻刑重赋，百姓 [愁] 怨，则卦气悖乱，咎征著邮，上天震怒，灾异屡降，日月薄食，五星失行，山崩川溃，水泉踊出，妖孽并见，BD51星耀光，饥馑荐臻，百姓短折，万物夭伤。		《汉书》__汉
87	王者遭衰难之世，有饥馑之灾，不损用而大自润，故凶；百姓困贫无以共求， [愁] 悲怨恨，故水；城关守国之固，固将去焉，故牡飞。		《汉书》__汉
88	世称尧若腊，舜若腒，心 [愁] 忧苦，形体赢癯。		《论衡》__汉
89	是故残贼弥长，和睦日衰，百姓 [愁] 怨，靡所错躬。		《汉书》__汉
90	传语曰：圣人忧世，深思事勤， [愁] 扰精神，感动形体，故称“尧若腊，舜若腒，桀、纣之君，垂腴尺余。”		《论衡》__汉
91	夫易则少忧，少忧则不 [愁] ，不 [愁] 则身体不癯。		《论衡》__汉
92	彗星出，蝗虫起，此万世一时，而 [愁] 劳，圣人所以起也。		《汉书》__汉
93	对曰：“臣闻君子有三色：驩然喜乐者，钟鼓之色； [愁] 然清净者，衰绖之色；怫然充满手足者，兵革之色。		《论衡》__汉
94	诗人伤早之甚，民被其害，言无有孑遗一人不 [愁] 痛者。		《论衡》__汉
95	使今之民也，遭大旱之灾，贫羸无蓄积，扣心思雨；若其富人，谷食饶足者，廪囷不空，口腹不饥，何 [愁] 之有？		《论衡》__汉
96	 [愁] 精神而幽魂魄。		《论衡》__汉
97	难得则 [愁] 下， [愁] 下则祸生，故从而痛之。		《论衡》__汉
98	天旱阳胜，故 [愁] 阳之党。		《论衡》__汉
99	充既疾俗情，作《讥俗》之书；又闵人君之政，徒欲治人，不得其宜，不晓其务， [愁] 精苦思，不睹所趋，故作《政务》之书。		《论衡》__汉
100	哀而不 [愁] ，◇集解杜预曰：“知命也。”		《史记》__汉
101	人君受以自责， [愁] 神苦思，撼动形体，而危乱之变，终不减除。		《论衡》__汉
102	为我谓河伯兮何不仁，泛滥不止兮 [愁] 吾人？		《史记》__汉
103	漆城虽於百姓 [愁] 费，然佳哉！		《史记》__汉
104	又离骚序云“离，别也；骚， [愁] 也”。		《史记》__汉
105	故使三光风雨四时五行，战斗无常，岁为其凶年；帝王为其 [愁] 苦，县官乱治，民 [愁] 恚饥寒，此非邪文邪言所病邪?		《太平经》__汉
106	今考是，真人欲知之，比若帝王 [愁] 恚夷狄数来害人也。		《太平经》__汉
107	长生求活，可无自苦 [愁] 毒。		《太平经》__汉
108	凡愚之术，皆从内出，自有法律，厚为本根，见神而活，亦无苦 [愁] ，神恶劳烈，安心定意，慎无暴卒。		《太平经》__汉
109	用之名为自厚自养，不用之名为自 [愁] 自苦。		《太平经》__汉
