语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：泪
2022/5/26 20:09:03

序号	语句	书名	朝代
141	敬奇既出，忿其谀媚，谓子弟曰：“此 [泪] 亦何従而来？”		《大唐新语》__隋唐五代
142	 [泪] 翟子之悲，恸朱公之哭。		《昭明文选》__魏晋六朝
143	『光目闻已，啼 [泪] 号泣而白空界：「愿我之母，永脱地狱，毕十三岁，更无重罪，及历恶道。		《地藏本愿》__隋唐五代
144	帝送出阁，惨然敛容， [泪] 数行下，左右莫不歔欷。		《北齐书》__隋唐五代
145	一自汝住他方，日夜常洒悲 [泪] 。		《洞山语录》__隋唐五代
146	合掌泣 [泪] ，告于世尊。		《敦煌变文》__隋唐五代
147	为睹前●（耕）织等，不免 [泪] 流盈目，尘坌满身。		《敦煌变文》__隋唐五代
148	悯念众生业所为，袖淹双 [泪] ●（旋）还垂。		《敦煌变文》__隋唐五代
149	尔时太子闻是语已，悲 [泪] 满目。		《敦煌变文》__隋唐五代
150	襄阳百姓于岘山立堕 [泪] 碑。		《独异志》__隋唐五代
151	闻之者悲伤，见之者陨 [泪] 。		《昭明文选》__魏晋六朝
152	间者历览诸子之文，对之抆 [泪] ，既痛逝者，行自念也。		《昭明文选》__魏晋六朝
153	楚辞曰：孤行吟而抆 [泪] 。		《昭明文选》__魏晋六朝
154	涕落（ 一作 [泪]  ）沾衣裳。		《陈子昂诗》__隋唐五代
155	舍利弗不移本座，运其神通，即至鹫峰山顶，悲泣雨 [泪] ，哽噎声嘶，旋绕世尊，数十余匝。		《敦煌变文》__隋唐五代
156	须达佛心□开悟，眼中 [泪] 落数千行，		《敦煌变文》__隋唐五代
157	面上红颜千道皱，眼中冷 [泪] 状如泉。		《敦煌变文》__隋唐五代
158	涕泣雨 [泪] ，多于巨海。		《敦煌变文》__隋唐五代
159	娥皇、女英従舜巡狩，行及湘川，闻舜崩于苍梧，泣下， [泪] 洒湘川之竹，皆成斑文。		《独异志》__隋唐五代
160	父子相接皆号叫，应见诸天 [泪] 湿☆。		《敦煌变文》__隋唐五代
161	互诉寒温相借问，不觉号☆ [泪] 双垂。		《敦煌变文》__隋唐五代
162	太子闻已，转更泣 [泪] 愁眉，回答一偈：		《敦煌变文》__隋唐五代
163	仙人忽见 [泪] 盈目，呼（吁）嗟伤叹手●☆。		《敦煌变文》__隋唐五代
164	愁聚两眉， [泪] 流双眼。		《敦煌变文》__隋唐五代
165	仙人得睹，哽噎不能发言，惆怅自身，眼中千道 [泪] 落。		《敦煌变文》__隋唐五代
166	仙人一睹， [泪] 双垂流。		《敦煌变文》__隋唐五代
167	宠移新爱夺， [泪] 落故情留。		《杜审言诗》__隋唐五代
168	敛 [泪] 开星靥，微步动云衣。		《杜审言诗》__隋唐五代
169	即感白马●跪，满目而滴 [泪] 成池。		《敦煌变文》__隋唐五代
170	既见雀儿困顿，眼中 [泪] 下如雨，口里便灌小便，疮上还贴故纸。		《敦煌变文》__隋唐五代
171	衾虎闻言，满目 [泪] 流。		《敦煌变文》__隋唐五代
172	夫人闻言， [泪] 流如雨，抛却妆台起来，拽得髭须咒咀：「一自为亲，几经寒暑，今朝忽拟生离，天地争交容许！」		《敦煌变文》__隋唐五代
173	皆和 [泪] 语，总带愁颜。		《敦煌变文》__隋唐五代
174	渐渐分襟，攀仰而 [泪] 垂丹脸。		《敦煌变文》__隋唐五代
175	罗侯得书，满目 [泪] 流，心口思量：「我主上由（犹）自●将，假饶得胜回弋（戈），公（功）归何处？」		《敦煌变文》__隋唐五代
176	目连诸处寻觅阿娘不见，悲泣雨 [泪] ，来向佛前，绕佛三匝，却住一面，合掌●跪。		《敦煌变文》__隋唐五代
177	皇帝闻语，满目 [泪] 流，良久乃言和尚曰：「朕之小国，总无供养。		《敦煌变文》__隋唐五代
178	〔断〕  忽地夫人气色昏， [泪] 流如线莫能胜，		《敦煌变文》__隋唐五代
179	断  臣今歌舞有词乖，王忽延（筵）中 [泪] 落来，		《敦煌变文》__隋唐五代
180	目连闻语，悲泣雨 [泪] 。		《敦煌变文》__隋唐五代
181	鹅鸭鸳鸯扶 [泪]  [泪] ，红波夜夜碧烟生，		《敦煌变文》__隋唐五代
182	时时懊恼流双 [泪] ，往往咨嗟怨此身。		《敦煌变文》__隋唐五代
183	公主既闻此事，哽噎不可发言，惭见丑质，咽气 [泪] 落。		《敦煌变文》__隋唐五代
184	皇帝亦见，满目 [泪] 流，遂执盏酹酒祭而言曰。		《敦煌变文》__隋唐五代
185	公主才闻 [泪] 数行，声中哽咽转悲伤，		《敦煌变文》__隋唐五代
186	珠 [泪] 连连怨复嗟，一种为人面貌差。		《敦煌变文》__隋唐五代
187	雨 [泪] 焚香思法会，遥告灵山大法王。		《敦煌变文》__隋唐五代
188	国主乍闻心痛切，朝臣知了 [泪] 摧摧。		《敦煌变文》__隋唐五代
189	及其闻说 [泪] 沾巾，莫怪今朝劝善贫（频）。		《敦煌变文》__隋唐五代
190	其新妇见此天衣，心怀怆切， [泪] 落如雨，拂模形容，即欲乘空而去。		《敦煌变文》__隋唐五代
